All|All
Abnormal|Abnormal sternal ossification
Sternal|Sternal ossification center abnormalities
Elevated|Elevated plasma pyrophosphate
Abnormal|Abnormal urine cation concentration
Abnormal|Abnormal urine anion concentration
Abnormality|Abnormality of the wing of the ilium
Sciatica|Sciatica
Abnormal|Abnormal platelet function
Impaired|Impaired arachidonic acid-induced platelet aggregation
Impaired|Impaired ristocetin-induced platelet aggregation
Impaired|Impaired thrombin-induced platelet aggregation
Abnormal|Abnormal platelet count
Heparin-induced|Heparin-induced thrombocytopenia
Abnormal|Abnormal platelet morphology
Abnormal|Abnormal platelet volume
Increased|Increased mean platelet volume
Large|Large platelets
Abnormal|Abnormal platelet membrane protein expression
Decreased|Decreased platelet glycoprotein Ib-IX-V
Acute|Acute disseminated intravascular coagulation
Decreased|Decreased platelet glycoprotein VI
Decreased|Decreased platelet P2Y12 receptor
Abnormal|Abnormal platelet granules
Abnormal|Abnormal umbilical stump bleeding
Hemorrhage|Hemorrhage of the eye
Hyphema|Hyphema
Choroid|Choroid hemorrhage
Choroidal|Choroidal Hemorrhage
Bleeding|Bleeding requiring red cell transfusion
Bleeding|Bleeding with minor or no trauma
Prolonged|Prolonged bleeding following procedure
Post-partum|Post-partum hemorrhage
Post-partum|Post-partum haemorrhage
Vitamin|Vitamin K deficiency
Abnormal|Abnormal leukocyte count
Impaired|Impaired thromboxane A2 agonist-induced platelet aggregation
Anemia|Anemia due to reduced life span of red cells
Anaemia|Anaemia due to reduced life span of red cells
Subconjunctival|Subconjunctival hemorrhage
Neutrophillia|Neutrophillia
Abnormality|Abnormality of circulating fibrinogen
Hyperfibrinogenemia|Hyperfibrinogenemia
Hypofibrinogenemia|Hypofibrinogenemia
Dysfibrinogenemia|Dysfibrinogenemia
Dysfibrinogenaemia|Dysfibrinogenaemia
Abnormal|Abnormal hemoglobin
Hemoglobin|Hemoglobin H
Persistence|Persistence of hemoglobin F
Increased|Increased hemoglobin F
Reduced|Reduced hemoglobin A
Reduced|Reduced beta/alpha synthesis ratio
Reduced|Reduced alpha/beta synthesis ratio
Unilateral|Unilateral radial aplasia
Flattened|Flattened metacarpal heads
Shortening|Shortening of all phalanges of fingers
Abnormality|Abnormality of metacarpophalangeal joint
Abnormality|Abnormality of the glenoid fossa
Lumbar|Lumbar hypertrichosis
Thoracic|Thoracic hypertrichosis
Cardiovascular|Cardiovascular calcification
Toe|Toe extensor amyotrophy
Short|Short 5th toe
Short|Short fifth toe
Fourth|Fourth toe clinodactyly
Pleural|Pleural empyema
Pyothorax|Pyothorax
Transudative|Transudative pleural effusion
Exudative|Exudative pleural effusion
Abnormal|Abnormal activity of mitochondrial respiratory chain
Decreased|Decreased activity of mitochondrial complex I
Decreased|Decreased activity of mitochondrial complex III
Decreased|Decreased activity of mitochondrial ATP synthase complex
Proximal|Proximal placement of hallux
Proximal|Proximal placement of big toe
Short|Short digit
Short|Short proximal phalanx of toe
Hypersegmentation|Hypersegmentation of proximal phalanx of third finger
Hyperextensible|Hyperextensible skin of chest
Abnormality|Abnormality of the cerebellar peduncle
Abnormality|Abnormality of the superior cerebellar peduncle
Elongated|Elongated superior cerebellar peduncle
Long|Long cerebellar peduncles
Mesenteric|Mesenteric artery aneurysm
Decreased|Decreased urinary urate
Decreased|Decreased plasma total carnitine
Hypoplastic|Hypoplastic fifth toenail
3-4|3-4 finger cutaneous syndactyly
Anterior|Anterior wedging of T12
Anterior|Anterior wedging of the 12th thoracic vertebra
Wedge-shaped|Wedge-shaped 12th thoracic vertebra
Anterior|Anterior wedging of L2
Increased|Increased urinary sulfite
Increased|Increased urinary thiosulfate
Small|Small vessel vasculitis
Bronchiolitis|Bronchiolitis obliterans organizing pneumonia
Bronchiolitis|Bronchiolitis obliterans organizing pneumonia (BOOP) 
Cryptogenic|Cryptogenic organizing pneumonia
Bronchiolitis|Bronchiolitis obliterans
Constrictive|Constrictive bronchiolitis 
Obliterative|Obliterative bonchiolitis
Respiratory|Respiratory tract infection
Respiratory|Respiratory infection
Acute|Acute respiratory tract infection
Acute|Acute infectious pneumonia
Bronchiolitis|Bronchiolitis
Aspiration|Aspiration pneumonia
Acute|Acute aspiration pneumonia
Pulmonary|Pulmonary lymphoma
Nodular|Nodular regenerative hyperplasia of liver
Nodular|Nodular transformation of liver
Noncirrhotic|Noncirrhotic nodulation
Partial|Partial nodular transformation of liver
Hepatic|Hepatic granulomatosis
Intestinal|Intestinal lymphoid nodular  hyperplasia
Abnormality|Abnormality of the  pectoral muscle
Retinal|Retinal perforation
Unilateral|Unilateral hypoplasia of pectoralis major muscle
Substantia|Substantia nigra gliosis
Non-obstructive|Non-obstructive azoospermia
Testicular|Testicular azoospermia
Obstructive|Obstructive azoospermia
Pretesticular|Pretesticular azoospermia
Intermittent|Intermittent painful muscle spasms
Abnormality|Abnormality of citrulline metabolism
Elevated|Elevated plasma citrulline
Hypocupremia|Hypocupremia
Feeding|Feeding difficulties
Feeding|Feeding problems
Poor|Poor feeding
Elevated|Elevated luteinizing hormone
Cerebral|Cerebral amyloid angiopathy
Dermatographic|Dermatographic urticaria
Dermatographism|Dermatographism
Hypoglycorrhachia|Hypoglycorrhachia
Paroxysmal|Paroxysmal lethargy
Myelofibrosis|Myelofibrosis
Aminoglycoside-induced|Aminoglycoside-induced hearing loss
Elevated|Elevated urinary catecholamines
Elevated|Elevated urinary homovanillic acid
Elevated|Elevated urinary vanillylmandelic acid
Elevated|Elevated urinary dopamine
Cholesterol|Cholesterol gallstones
Pigment|Pigment gallstones
Black|Black pigment gallstones
Brown|Brown pigment gallstones
Atretic|Atretic gallbladder
Gallbladder|Gallbladder atresia
Acholic|Acholic stools
Acholia|Acholia
Ectopic|Ectopic ossification
Ectopic|Ectopic bone formation
Heterotopic|Heterotopic ossification
Ectopic|Ectopic ossification in muscle tissue
Ectopic|Ectopic ossification in tendon tissue
Ectopic|Ectopic ossification in ligament tissue
Abnormality|Abnormality of neutrophil physiology
Abnormal|Abnormal neutrophil cell number
Abnormality|Abnormality of neutrophil morphology
Impaired|Impaired neutrophil bactericidal activity
Abnormality|Abnormality of the atrial septum
Atrial|Atrial septal aneurysm
Elevated|Elevated factor V activity
Plasma|Plasma factor V elevated
Postprandial|Postprandial hyperlactemia
Postprandial|Postprandial hyperglycemia
Paranoia|Paranoia
EEG|EEG with generalized spikes
EEG|EEG with generalized polyspikes
Experiential|Experiential auras
Affective|Affective auras
Mnemonic|Mnemonic auras
Deja|Deja vu
Jamais|Jamais vu
Hallucinatory|Hallucinatory auras
Illusory|Illusory auras
EEG|EEG with central focal spike waves
EEG|EEG with frontal focal spike waves
EEG|EEG with occipital focal spike waves
EEG|EEG with parietal focal spike waves
EEG|EEG with temporal focal spike waves
EEG|EEG with central focal spikes
EEG|EEG with frontal focal spikes
EEG|EEG with occipital focal spikes
EEG|EEG with parietal focal spikes
EEG|EEG with temporal focal spikes
Lens|Lens luxation
Right|Right aortic arch
Right-sided|Right-sided aortic arch
Persistent|Persistent patent ductus venosus
Congenital|Congenital portosystemic venous shunt
Galactosuria|Galactosuria
Hypergalactosemia|Hypergalactosemia
Abnormality|Abnormality of ornithine metabolism
Hyperornithinemia|Hyperornithinemia
Laryngeal|Laryngeal edema
Hepatocellular|Hepatocellular adenoma
Hepatic|Hepatic adenoma
Liver|Liver cell adenoma
Abnormality|Abnormality of urine hormone level
Increased|Increased urinary cortisol level
Lipomatous|Lipomatous tumor
Lipoma|Lipoma
Sacral|Sacral lipoma
Liposarcoma|Liposarcoma
Steatocystoma|Steatocystoma multiplex
Sternocleidomastoid|Sternocleidomastoid amyotrophy
Pectoralis|Pectoralis amyotrophy
Corneal|Corneal guttata
Corneal|Corneal endothelial guttata
Descemet|Descemet Membrane Folds
Corneal|Corneal stromal edema
Decreased|Decreased fertility in males
Aspirin-induced|Aspirin-induced asthma
Pendular|Pendular nystagmus
Seesaw|Seesaw nystagmus
Retinal|Retinal flecks
Areflexia|Areflexia of upper limbs
Hemeralopia|Hemeralopia
Oromandibular|Oromandibular dystonia
Cranial|Cranial dystonia
Laryngeal|Laryngeal dystonia
Spasmodic|Spasmodic dysphonia
Anasarca|Anasarca
Reactive|Reactive hypoglycemia
Postprandial|Postprandial hypoglycemia 
Low|Low serum calcitriol (1,25-dihydroxycholecalciferol)
Low|Low serum calcifediol (25-hydroxycholecalciferol)
Choroidal|Choroidal melanoma
Ciliary|Ciliary body melanoma
Cutaneous|Cutaneous melanoma
Superficial|Superficial spreading melanoma
Nodular|Nodular melanoma
Lentigo|Lentigo maligna melanoma
Acral|Acral lentiginous melanoma
Urinary|Urinary excretion of sialylated oligosaccharides
Increased|Increased urinary sialyloligosaccharides 
Bone|Bone cyst
Aneurysmal|Aneurysmal bone cyst
Unicameral|Unicameral bone cyst
Multiple|Multiple bony cystic lesions
Increased|Increased urinary disaccharide excretion
Glycopeptiduria|Glycopeptiduria
Aspartylglucosaminuria|Aspartylglucosaminuria
Keratan|Keratan sulfate excretion in urine
Chondroitin|Chondroitin sulfate excretion in urine
Abnormality|Abnormality of acetylcarnitine metabolism
Aciduria|Aciduria
Abnormal|Abnormal urinary acylglycine profile
Tonic|Tonic pupil
Adie|Adie pupil
Adie's|Adie's tonic pupil
Personality|Personality disorder
Borderline|Borderline personality disorder
Histrionic|Histrionic personality disorder
Motor|Motor conduction block
Abnormality|Abnormality of central motor conduction
Cerebellar|Cerebellar granular layer atrophy
Enlarged|Enlarged cerebellum
Cerebellar|Cerebellar Purkinje layer atrophy
Ubiquitin-positive|Ubiquitin-positive cerebral inclusion bodies
Abnormality|Abnormality of skeletal muscle fiber size
Pyuria|Pyuria
Abnormal|Abnormal urinary color
Abnormal|Abnormal urinary colour
Abnormal|Abnormal mitochondrial shape
Abnormal|Abnormal urinary odor
Abnormal|Abnormal urinary odour
Arteritis|Arteritis
Abnormality|Abnormality of pancreas morphology
Abnormality|Abnormality of pancreas physiology
Abnormality|Abnormality of exocrine pancreas physiology
Abnormality|Abnormality of endocrine pancreas physiology
Abnormal|Abnormal pancreas size
Multiple|Multiple joint dislocation
Intracranial|Intracranial epidermoid cyst
Intracranial|Intracranial dermoid cyst
Edema|Edema of the dorsum of feet
Edema|Edema of dorsum of feet
Abnormality|Abnormality of circulating catecholamine level
Catecholamine|Catecholamine levels abnormal
Abnormal|Abnormal circulating creatinine level
Creatinine|Creatinine levels abnormal
Decreased|Decreased serum creatinine
Reduced|Reduced creatinine levels
Abnormal|Abnormal mitochondrial number
Abnormality|Abnormality of the mitochondrion
Parietal|Parietal cortical atrophy
Occipital|Occipital cortical atrophy
Rhizomelic|Rhizomelic leg shortening
Increased|Increased fibular diameter
Thick|Thick fibula
Wide|Wide fibula
Primary|Primary open angle glaucoma
Primary|Primary angle closure glaucoma
Hypoplasia|Hypoplasia of the pons
Abnormality|Abnormality of circulating glucocorticoid level
Abnormality|Abnormality of circulating corticosterone level
Abnormality|Abnormality of creatine metabolism
Endometrial|Endometrial carcinoma
Hepatitis|Hepatitis
Abnormal|Abnormal albumin level
Hyperalbuminemia|Hyperalbuminemia
Hyperalbuminaemia|Hyperalbuminaemia
Laryngeal|Laryngeal carcinoma
Cancer|Cancer of the larynx
Laryngeal|Laryngeal cancer
Methemoglobinemia|Methemoglobinemia
Methylmalonic|Methylmalonic aciduria
Methymalonicaciduria|Methymalonicaciduria
Panuveitis|Panuveitis
Anterior|Anterior uveitis
Posterior|Posterior uveitis
Intermediate|Intermediate uveitis
Prostate|Prostate cancer
Prostatic|Prostatic cancer
Stomach|Stomach cancer
Gastric|Gastric cancer
Uraciluria|Uraciluria
Basal|Basal ganglia necrosis
Abnormality|Abnormality of bone marrow stromal cells
Abnormality|Abnormality of cells of the erythroid lineage
Abnormal|Abnormal number of erythroid precursors
Erythroid|Erythroid hyperplasia
Erythroid|Erythroid hypoplasia
Dysplastic|Dysplastic erythropoesis
Abnormality|Abnormality of cells of the granulocytic lineage
Dysplastic|Dysplastic granulopoesis
Abnormal|Abnormal number of granulocyte precursors
Granulocytic|Granulocytic hyperplasia
Granulocytic|Granulocytic hypoplasia
Abnormality|Abnormality of cells of the lymphoid lineage
Lymphocvtosis|Lymphocvtosis
Pancreatic|Pancreatic squamous cell carcinoma
Squamous|Squamous cell carcinoma of the pancreas
Abnormality|Abnormality of cells of the megakaryocyte lineage
Abnormality|Abnormality of cells of the monocyte/macrophage lineage
Abnormality|Abnormality of multiple cell lineages in the bone marrow
Abnormality|Abnormality of  von Willebrand factor
Reduced|Reduced quantity of Von Willebrand factor
Multiple|Multiple lineage myelodysplasia
Bilineage|Bilineage myelodysplasia
Single|Single lineage myelodysplasia
Hemothorax|Hemothorax
Foveoschisis|Foveoschisis
Hypotriglyceridemia|Hypotriglyceridemia
Anhedonia|Anhedonia
Decreased|Decreased corneal sensation
Corneal|Corneal hypaesthesia
Corneal|Corneal hypesthesia
Reduced|Reduced corneal sensation
Hemophagocytosis|Hemophagocytosis
Subcortical|Subcortical cerebral atrophy
Carotid|Carotid artery dissection
Internal|Internal carotid artery dissection
Intracranial|Intracranial internal carotid artery dissection
External|External carotid artery dissection
Common|Common carotid artery dissection
Carotid|Carotid artery aneurysm
Asterixis|Asterixis
Oligodactyly|Oligodactyly
Skin-picking|Skin-picking
Compulsive|Compulsive skin picking
Dermatillomania|Dermatillomania
Hair-pulling|Hair-pulling
Trichotillomania|Trichotillomania
Head-banging|Head-banging
Self-biting|Self-biting
Nail-biting|Nail-biting
Onychophagia|Onychophagia
Onychophagy|Onychophagy
Stereotypical|Stereotypical hand wringing
Stereotypical|Stereotypical body rocking
Orthostatic|Orthostatic tachycardia
Postural|Postural tachycardia
Glioblastoma|Glioblastoma multiforme
Resistance|Resistance to activated protein C
Activated|Activated protein C resistance
Abnormality|Abnormality of natural killer cells
Abnormal|Abnormal natural killer cell physiology
Reduced|Reduced natural killer cell activity
Craniofacial|Craniofacial dystonia
Cystic|Cystic medial necrosis
Entrapment|Entrapment neuropathy
Oropharyngeal|Oropharyngeal squamous cell carcinoma
Hyperplastic|Hyperplastic colonic polyposis
Hyperalphalipoproteinemia|Hyperalphalipoproteinemia
Constrictive|Constrictive median neuropathy
Entrapment|Entrapment neuropathy of the ulnar nerve at elbow
